,Unnamed: 0,X,Y,CCN,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,OBJECTID,PSA_ID,DistrictID,OFFENSE_Code,METHOD_Code,CRIME_TYPE,AGE,TIME_TO_REPORT,Year,Month,Day,hour,dayofyear,week,weekofyear,dayofweek,weekday,quarter
NEIGHBORHOOD_CLUSTER,-0.020665280172174276,0.7474468083493466,-0.5542082161993748,-0.01779658071974299,0.7475131274313375,-0.5541953724532727,0.9026867452932669,0.8979485032647141,0.6547267157702661,0.655368721394899,1.0,0.5305462512497302,0.6079619055822669,-0.5542082372394549,0.7474467953058153,0.008690447144773655,0.6554188568548739,0.6549495244735127,0.22259572164394195,0.1502289545235542,-0.16768766870013255,0.000722620476433802,-0.023093649815662996,-0.014088121175671299,0.004026821966328264,0.008646855834549836,-0.016729842177076834,0.004712290842881964,0.007874373442924389,0.0036345794303785078,-0.029708478092764015,-0.029708478092764015,0.005355591348189578
CENSUS_TRACT,-0.002057149447855305,0.6448619750278233,-0.5322149926484707,-0.001869025394670012,0.6447421879297576,-0.5322631618639273,0.5616391955061185,0.5559218307177347,0.34575161040635494,0.3477551039344876,0.5305462512497302,1.0,0.4939387537215158,-0.5322150100111845,0.6448619622521616,0.00950220530244958,0.3477791043888936,0.3458686782548667,0.11291978551610758,0.08373856473388513,-0.09542061023045649,0.0007306685432825717,-0.011195939719997203,-0.00017511198724020388,0.004990802625909449,0.004743892397105929,-0.03499489376669546,0.005407081318620766,0.005461029361155919,0.0052657386630833285,0.0016657998658489558,0.0016657998658489558,0.005866433108743579
VOTING_PRECINCT,-0.011087190556335868,0.5877393745154583,-0.550560517093257,-0.009922226436191464,0.5877368113777892,-0.5505946987232351,0.5894181186614831,0.5825041569415954,0.3800930568367091,0.37916075962743917,0.6079619055822669,0.4939387537215158,1.0,-0.5505605314062055,0.587739359017561,0.005879835275268201,0.37915206476093,0.3801820641129069,0.14006455017346067,0.10205020614039864,-0.11779174015168728,-0.0015749633350334983,-0.015442498498350192,-0.007352443954248501,0.0031551128266148858,0.008357232392445811,-0.0061425745443109605,0.003857975866506145,0.007725046131098453,0.0029182122497131476,-0.007616384918210158,-0.007616384918210158,0.00396751577174885
LATITUDE,0.0161962550268599,-0.44731805263554597,0.9999999999999951,0.016367467663452456,-0.4472469493398911,0.9999999711474141,-0.610553233156173,-0.6123556855154628,-0.3505907131391825,-0.3539635083452519,-0.5542082372394549,-0.5322150100111845,-0.5505605314062055,1.0,-0.44731801041735486,-0.016731699108294334,-0.3538393972633558,-0.3506380245408003,-0.11288560297377268,-0.10749986692750628,0.12127398600897156,-0.003592694409473195,0.009688147065073413,0.015073713914381847,-0.007391691687773651,-0.0056240754970898225,-0.004684383726433303,-0.007908884734776475,-0.005232797768842459,-0.0070256858741490685,0.01046781933353495,0.01046781933353495,-0.00831249744717203
LONGITUDE,-0.00781757308435246,1.000000000000016,-0.4473179761457299,-0.005881738720841691,0.99999994551908,-0.4473207805352221,0.7333470265396094,0.7280512433310882,0.6065834969199215,0.607292380689383,0.7474467953058153,0.6448619622521616,0.587739359017561,-0.44731801041735486,1.0,0.002681471605273411,0.6072267355875555,0.6066844289876139,0.22086470733763533,0.14357515822781847,-0.16748406353581682,-0.0027600767290637622,-0.02529429912584903,-0.002124933903807209,0.005544416113624725,0.008136850579551448,-0.023743799599708248,0.006183297174436444,0.007707705918585742,0.004893828068605044,-0.01246201127624145,-0.01246201127624145,0.006864295273327223
OBJECTID,-0.33420525145207247,0.0026814713434032736,-0.016731697060040327,-0.3403781757764345,0.002679601770089227,-0.016732111282607542,0.006136214961281868,0.006327303885096157,0.010103198472423488,0.010955405300987556,0.008690447144773655,0.00950220530244958,0.005879835275268201,-0.016731699108294334,0.002681471605273411,1.0,0.01102698646253788,0.010556333021776654,0.01957276103422353,0.008410496168135512,-0.017505591970994737,-0.0017790254622324195,-0.013607953697116272,-0.33871316618442804,0.018201053151846898,-0.0040886899457753,-0.0029360340830131663,0.019649445956195444,-0.004738378293725029,0.01607749197586613,0.003048258509901191,0.003048258509901191,0.02041125736910228
PSA_ID,-0.025776508522309845,0.6072267407903287,-0.353839377932578,-0.022804108584871044,0.6072960431212128,-0.3538239674607773,0.5814798383421798,0.5809370877633814,0.9996201566547696,1.0,0.6554188568548739,0.3477791043888936,0.37915206476093,-0.3538393972633558,0.6072267355875555,0.01102698646253788,1.0,0.9999274164247798,0.25196424355875763,0.17067087361830535,-0.1964200489319847,-0.0015046573382470777,-0.027341558549987974,-0.018094329832842197,0.002761674351992027,0.0037129285866720372,-0.033541933895725094,0.0030306869184240936,0.0032804060042843117,0.001615755671752528,-0.012208307349813225,-0.012208307349813225,0.0036240195110179975
DistrictID,-0.025633789014513225,0.6066844340386378,-0.350638005171503,-0.022658213641901348,0.6067547438486309,-0.35062248319752,0.5810096099814019,0.5804862447812501,0.9996932671725376,0.9999274155677554,0.6549495244735127,0.3458686782548667,0.3801820641129069,-0.3506380245408003,0.6066844289876139,0.010556333021776654,0.9999274164247798,1.0,0.25190594089779994,0.17053029851596588,-0.19628415900884313,-0.0015526015514309257,-0.027343218918454676,-0.017941331187111068,0.002671849054380131,0.0036643984596647135,-0.033506900277412884,0.0029363063916048207,0.0032351481476767764,0.0015186361220908633,-0.012129567503860914,-0.012129567503860914,0.0035311458508328866
OFFENSE_Code,-0.07124530768858482,0.22086470902629265,-0.112885595570305,-0.07193538706799799,0.22088896725403068,-0.11288319151711143,0.2178612647113845,0.21688283108128403,0.251773514222342,0.251908763420501,0.22259572164394195,0.11291978551610758,0.14006455017346067,-0.11288560297377268,0.22086470733763533,0.01957276103422353,0.25196424355875763,0.25190594089779994,1.0,0.3415135255376056,-0.6082621099803841,-0.0029560390815186253,0.005729267626164224,-0.06679339945657423,0.0026336159031380363,0.0007376183546278218,-0.09635198179521075,0.002772390686381128,0.00033366174925169835,0.0023160979506667923,0.024234787616779604,0.024234787616779604,0.0045123340739402626
METHOD_Code,-0.03278775265570836,0.14357516098858764,-0.10749986265296906,-0.03281378680669474,0.14358631518407464,-0.10749916863641303,0.14733466145913648,0.14693123699639749,0.1704070335032368,0.17068991435008696,0.1502289545235542,0.08373856473388513,0.10205020614039864,-0.10749986692750628,0.14357515822781847,0.008410496168135512,0.17067087361830535,0.17053029851596588,0.3415135255376056,1.0,-0.6377250671292924,-0.0036987004747766564,-0.015616062034948952,-0.03016766482761648,-0.002281036448220867,0.0010226355283606452,-0.026000337275950833,-0.002139609327581445,0.0008912338165941924,-0.0027282315952910623,0.02068645999332597,0.02068645999332597,-0.0020479682274333016
